from initCond.py

512 atoms
1 atom types

-4.239359331793306 4.239359331793306 xlo xhi
-4.239359331793306 4.239359331793306 ylo yhi
-4.239359331793306 4.239359331793306 zlo zhi

Atoms

      1       1  2  0   -1.41311978   -0.70655989    0.70655989
      2       1  1  0   -0.70655989   -2.82623955    0.70655989
      3       1  2  0   -0.70655989    3.53279944    1.41311978
      4       1  1  0    2.82623955   -0.70655989    2.11967967
      5       1  2  0   -1.41311978   -2.11967967    2.11967967
      6       1  1  0   -2.11967967    1.41311978   -0.70655989
      7       1  2  0   -2.82623955    1.41311978    1.41311978
      8       1  2  0   -3.53279944   -1.41311978   -2.11967967
      9       1  2  0    0.00000000    0.00000000    0.00000000
     10       1  1  0   -2.11967967   -1.41311978    0.70655989
     11       1  2  0    0.70655989    2.82623955    0.70655989
     12       1  1  0    0.70655989    2.82623955   -0.70655989
     13       1  1  0   -3.53279944    2.11967967    1.41311978
     14       1  1  0    2.11967967    2.11967967   -2.82623955
     15       1  1  0    0.70655989    0.00000000    3.53279944
     16       1  1  0   -1.41311978   -4.23935933   -2.82623955
     17       1  1  0   -0.70655989    0.00000000    0.70655989
     18       1  2  0   -4.23935933   -4.23935933    0.00000000
     19       1  1  0   -3.53279944   -0.70655989   -4.23935933
     20       1  1  0   -0.70655989    2.11967967    0.00000000
     21       1  1  0    1.41311978   -2.82623955   -1.41311978
     22       1  2  0    0.00000000   -0.70655989    2.11967967
     23       1  2  0    1.41311978    2.82623955   -1.41311978
     24       1  1  0    3.53279944   -3.53279944    0.00000000
     25       1  1  0   -1.41311978    3.53279944   -2.11967967
     26       1  1  0   -3.53279944   -1.41311978    0.70655989
     27       1  1  0    3.53279944   -2.11967967   -1.41311978
     28       1  1  0    3.53279944   -4.23935933   -2.11967967
     29       1  2  0   -3.53279944   -2.82623955    0.70655989
     30       1  2  0   -0.70655989   -0.70655989   -4.23935933
     31       1  1  0    2.11967967    2.82623955    0.70655989
     32       1  1  0   -2.82623955    0.00000000    2.82623955
     33       1  2  0    0.00000000    0.70655989   -0.70655989
     34       1  2  0    0.70655989   -2.82623955   -2.11967967
     35       1  2  0    1.41311978   -0.70655989   -0.70655989
     36       1  2  0    2.82623955   -1.41311978    2.82623955
     37       1  2  0   -3.53279944    0.70655989   -1.41311978
     38       1  2  0    0.00000000    0.00000000   -1.41311978
     39       1  1  0    1.41311978   -2.82623955    2.82623955
     40       1  1  0   -1.41311978   -4.23935933   -4.23935933
     41       1  2  0   -2.11967967   -2.82623955   -3.53279944
     42       1  2  0   -3.53279944    2.11967967   -4.23935933
     43       1  2  0   -1.41311978    2.11967967   -2.11967967
     44       1  1  0   -2.11967967   -3.53279944   -1.41311978
     45       1  2  0   -1.41311978   -1.41311978   -1.41311978
     46       1  1  0    2.11967967    0.70655989    2.82623955
     47       1  2  0   -3.53279944    1.41311978   -0.70655989
     48       1  1  0    0.70655989    3.53279944    2.82623955
     49       1  2  0    0.70655989    2.82623955    3.53279944
     50       1  2  0   -2.11967967    1.41311978   -2.11967967
     51       1  1  0    0.70655989   -0.70655989   -2.82623955
     52       1  1  0   -3.53279944   -2.11967967    1.41311978
     53       1  1  0    2.11967967   -2.11967967   -4.23935933
     54       1  2  0    3.53279944   -4.23935933    0.70655989
     55       1  1  0    2.11967967    1.41311978   -0.70655989
     56       1  2  0   -0.70655989   -2.11967967    1.41311978
     57       1  1  0    2.11967967    1.41311978    0.70655989
     58       1  2  0   -3.53279944    1.41311978   -2.11967967
     59       1  2  0   -4.23935933   -2.82623955    0.00000000
     60       1  2  0    1.41311978   -0.70655989   -2.11967967
     61       1  1  0   -3.53279944    2.11967967   -1.41311978
     62       1  2  0   -2.82623955   -3.53279944   -0.70655989
     63       1  2  0   -2.11967967    2.11967967   -1.41311978
     64       1  2  0    1.41311978    3.53279944    2.11967967
     65       1  2  0   -4.23935933   -2.11967967    3.53279944
     66       1  2  0    0.00000000   -3.53279944    0.70655989
     67       1  2  0    0.00000000    0.00000000   -4.23935933
     68       1  2  0   -1.41311978    2.82623955    2.82623955
     69       1  2  0    1.41311978    1.41311978    2.82623955
     70       1  2  0    1.41311978   -0.70655989    0.70655989
     71       1  1  0    1.41311978    2.11967967   -0.70655989
     72       1  2  0    0.70655989   -0.70655989    0.00000000
     73       1  2  0   -4.23935933    1.41311978    0.00000000
     74       1  2  0    0.00000000   -4.23935933   -4.23935933
     75       1  2  0    0.00000000   -2.11967967   -2.11967967
     76       1  2  0    2.82623955    2.11967967   -3.53279944
     77       1  1  0   -4.23935933   -1.41311978    1.41311978
     78       1  1  0   -1.41311978   -2.11967967   -0.70655989
     79       1  1  0    0.00000000   -1.41311978    0.00000000
     80       1  1  0   -3.53279944    3.53279944    0.00000000
     81       1  2  0    3.53279944   -0.70655989    1.41311978
     82       1  2  0   -2.11967967    2.11967967    1.41311978
     83       1  2  0   -3.53279944   -2.82623955   -2.11967967
     84       1  1  0    2.11967967   -2.11967967    2.82623955
     85       1  1  0   -3.53279944   -3.53279944    0.00000000
     86       1  2  0    2.82623955    2.11967967    0.70655989
     87       1  1  0   -4.23935933    0.70655989    3.53279944
     88       1  2  0   -2.11967967   -2.11967967    0.00000000
     89       1  2  0   -4.23935933   -4.23935933    2.82623955
     90       1  1  0    0.00000000   -1.41311978    2.82623955
     91       1  2  0    0.70655989   -2.82623955    0.70655989
     92       1  2  0   -1.41311978   -0.70655989   -2.11967967
     93       1  2  0    0.00000000   -2.82623955   -4.23935933
     94       1  1  0   -1.41311978    3.53279944   -0.70655989
     95       1  2  0    1.41311978   -4.23935933   -2.82623955
     96       1  1  0   -0.70655989    0.70655989    0.00000000
     97       1  1  0    2.82623955   -4.23935933    1.41311978
     98       1  2  0    0.70655989   -3.53279944   -4.23935933
     99       1  1  0    0.70655989    0.70655989   -1.41311978
    100       1  2  0   -0.70655989   -2.82623955    2.11967967
    101       1  1  0    3.53279944    0.70655989    1.41311978
    102       1  1  0    0.70655989    0.70655989    0.00000000
    103       1  1  0    3.53279944   -2.11967967    0.00000000
    104       1  2  0    2.11967967   -2.82623955    2.11967967
    105       1  1  0   -2.11967967   -4.23935933    0.70655989
    106       1  2  0   -2.11967967    0.70655989   -1.41311978
    107       1  1  0   -2.82623955   -4.23935933   -1.41311978
    108       1  2  0    2.11967967   -3.53279944    0.00000000
    109       1  1  0    3.53279944   -2.82623955   -0.70655989
    110       1  1  0    1.41311978   -4.23935933    0.00000000
    111       1  1  0    1.41311978    2.82623955   -2.82623955
    112       1  1  0    3.53279944    3.53279944   -2.82623955
    113       1  2  0   -2.82623955   -2.82623955   -1.41311978
    114       1  2  0   -2.82623955    2.82623955    0.00000000
